month, year, usdprice
1,2014,6.160,
2,2014,6.129,
3,2014,6.002,
4,2014,5.979,
5,2014,5.939,
6,2014,6.036,
7,2014,6.197,
8,2014,6.204,
9,2014,6.339,
10,2014,6.543,
11,2014,6.808,
12,2014,7.265,
1,2015,7.689,
2,2015,7.590,
3,2015,7.985,
4,2015,7.898,
5,2015,7.554,
6,2015,7.804,
7,2015,8.120,
8,2015,8.250,
9,2015,8.280,
10,2015,8.271,
11,2015,8.635,
12,2015,8.695,
1,2016,8.844,
2,2016,8.608,
3,2016,8.494,
4,2016,8.230,
5,2016,8.238,
6,2016,8.314,
7,2016,8.472,
8,2016,8.313,
9,2016,8.213,
10,2016,8.164,
11,2016,8.407,
12,2016,8.558,
1,2017,8.481,
2,2017,8.328,
3,2017,8.499,
4,2017,8.587,
5,2017,8.523,
6,2017,8.462,
7,2017,8.168,
8,2017,7.894,
9,2017,7.831,
10,2017,7.994,
11,2017,8.186,
12,2017,8.328,
1,2018,7.922,
2,2018,7.828,
3,2018,7.766,
4,2018,7.838,
5,2018,8.102,
6,2018,8.120,
7,2018,8.130,
8,2018,8.334,
9,2018,8.257,
