pid, cid, year, amountMNOK, amountMUSD, kbarrels,
1,BE,2015,1081.00,130.98,2733.51,
1,BE,2016,648.00,76.11,2227.96,
1,BE,2017,179.00,20.85,399.64,
1,BS,2016,609.00,72.38,1835.28,
1,BS,2017,737.00,87.51,1634.69,
1,CA,2014,391.00,53.82,886.65,
1,CA,2015,2219.00,276.22,5496.44,
1,CA,2016,3962.00,475.78,11327.44,
1,CA,2017,5412.00,651.97,12451.94,
1,DE,2014,12617.00,1926.38,22828.13,
1,DE,2015,19395.00,2419.10,47416.39,
1,DE,2016,14373.00,1716.74,39885.03,
1,DE,2017,23491.00,2842.96,52845.99,
1,DK,2014,2135.00,324.98,3856.01,
1,DK,2015,7526.00,942.39,18500.90,
1,DK,2016,5318.00,634.14,15011.91,
1,DK,2017,10857.00,1312.58,24989.94,
1,ES,2014,2818.00,440.86,4757.27,
1,ES,2015,3184.00,402.90,7247.87,
1,ES,2016,2872.00,338.62,7837.77,
1,ES,2017,7827.00,945.29,17824.60,
1,FI,2014,3288.00,499.48,5906.10,
1,FI,2015,1851.00,230.66,5009.66,
1,FI,2016,2550.00,305.02,7241.92,
1,FI,2017,5655.00,681.04,12559.40,
1,FR,2014,1518.00,230.48,2782.84,
1,FR,2015,3775.00,468.34,9708.02,
1,FR,2016,10314.00,1233.47,28616.55,
1,FR,2017,9914.00,1205.41,22739.92,
1,GB,2014,47371.00,7176.47,86818.88,
1,GB,2015,78194.00,9727.97,192649.53,
1,GB,2016,76498.00,9124.67,213439.60,
1,GB,2017,92994.00,11225.58,213528.67,
1,IE,2014,1339.00,198.46,2590.36,
1,IE,2015,7567.00,942.97,18612.59,
1,IE,2016,7743.00,925.75,21259.08,
1,IE,2017,5845.00,705.62,13376.73,
1,IT,2014,967.00,144.07,1828.71,
1,IT,2015,505.00,60.51,1240.68,
1,IT,2016,1256.00,151.57,3295.52,
1,IT,2017,2327.00,284.85,5555.14,
1,LT,2017,1107.00,134.38,2565.73,
1,MQ,2015,2287.00,289.51,5627.02,
1,MQ,2016,1062.00,124.55,3029.84,
1,MQ,2017,87.00,10.24,201.11,
1,NL,2014,29883.00,4571.05,53745.74,
1,NL,2015,50373.00,6295.64,123507.80,
1,NL,2016,43367.00,5146.77,121198.69,
1,NL,2017,37976.00,4580.26,86363.85,
1,PL,2014,2294.00,359.78,3853.43,
1,PL,2015,1396.00,171.70,3412.39,
1,PL,2016,246.00,30.13,611.33,
1,PL,2017,1324.00,160.44,2980.46,
1,PT,2015,299.00,38.31,624.92,
1,PT,2016,407.00,49.41,1075.43,
1,SE,2014,5309.00,810.07,9641.82,
1,SE,2015,13400.00,1664.72,32806.33,
1,SE,2016,10403.00,1237.68,29017.84,
1,SE,2017,12682.00,1533.71,29655.58,
1,US,2014,412.00,64.99,678.09,
1,US,2015,4063.00,516.86,9348.59,
1,US,2016,5140.00,613.06,13982.52,
1,US,2017,4661.00,573.88,11383.09,
1,ZA,2016,827.00,100.99,2147.04,
