month, year, barrelprice,
8,2014,100.050,
9,2014,95.850,
10,2014,86.080,
11,2014,76.990,
12,2014,60.700,
1,2015,47.110,
2,2015,54.790,
3,2015,52.830,
4,2015,57.540,
5,2015,62.510,
6,2015,61.310,
7,2015,54.340,
8,2015,45.690,
9,2015,46.280,
10,2015,46.960,
11,2015,43.110,
12,2015,36.570,
1,2016,29.780,
2,2016,31.030,
3,2016,37.340,
4,2016,40.750,
5,2016,45.940,
6,2016,47.690,
7,2016,44.130,
8,2016,44.880,
9,2016,45.040,
10,2016,49.290,
11,2016,45.260,
12,2016,52.620,
1,2017,53.590,
2,2017,54.350,
3,2017,50.900,
4,2017,52.160,
5,2017,49.890,
6,2017,46.170,
7,2017,47.660,
8,2017,49.940,
9,2017,52.950,
10,2017,54.920,
11,2017,59.930,
12,2017,61.190,
1,2018,66.230,
2,2018,63.460,
3,2018,64.170,
4,2018,68.790,
5,2018,73.430,
6,2018,71.980,
7,2018,72.670,
8,2018,71.080,
9,2018,75.360,
